City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,City Description
202,Tiarei,PF,-17.5333,-149.3333,27.78,65,12,0.89,few clouds
203,Maldonado,UY,-34.6667,-54.9167,20.0,73,40,8.75,scattered clouds
204,Yabassi,CM,4.457,9.9682,26.0,100,75,2.06,broken clouds
205,Belaya Gora,RU,68.5333,146.4167,-27.41,87,62,4.5,broken clouds
206,Coquimbo,CL,-29.9533,-71.3436,16.0,82,90,3.09,overcast clouds
207,Tessalit,ML,20.1986,1.0114,19.57,22,79,7.3,broken clouds
208,Flinders,AU,-34.5833,150.8552,28.89,69,22,3.13,few clouds
209,Hadejia,NG,12.4498,10.0444,18.54,26,0,4.85,clear sky
210,Isangel,VU,-19.55,169.2667,21.0,100,75,1.54,broken clouds
211,Matelandia,BR,-25.2408,-53.9964,20.0,94,0,1.03,light rain
212,Beringovskiy,RU,63.05,179.3167,-18.19,92,100,3.82,overcast clouds
213,Nantucket,US,41.2835,-70.0995,-2.0,86,1,3.09,clear sky
214,Methoni,GR,36.8197,21.7049,10.56,100,2,2.06,clear sky
215,Kavaratti,IN,10.5669,72.642,27.29,75,60,5.99,broken clouds
216,East London,ZA,-33.0153,27.9116,20.0,94,75,1.03,moderate rain
217,Slonim,BY,53.0867,25.3219,-14.0,95,98,2.51,overcast clouds
218,Codrington,AU,-38.2667,141.9667,19.72,44,34,2.95,scattered clouds
219,Menongue,AO,-14.6585,17.691,16.13,81,16,1.52,few clouds
220,Kutum,SD,14.2,24.6667,10.44,44,1,5.05,clear sky
221,Lata,PT,40.1629,-8.3327,10.0,90,93,1.21,light rain
222,Asau,RO,46.4333,26.4,2.78,69,17,0.99,few clouds
223,Virginia Beach,US,36.8529,-75.978,6.67,43,95,1.34,overcast clouds
224,Port Elizabeth,ZA,-33.918,25.5701,16.0,88,0,2.55,clear sky
225,Farah,AF,32.5,62.5,3.37,66,0,0.65,clear sky
226,Mehamn,NO,71.0357,27.8492,-2.99,92,100,5.44,light snow
227,Plettenberg Bay,ZA,-34.0527,23.3716,18.15,87,0,0.71,clear sky
228,Camopi,GF,3.1655,-52.3158,22.47,98,98,0.86,overcast clouds
229,Mikuni,JP,36.2171,136.1519,8.0,53,75,3.6,broken clouds
230,Coihaique,CL,-45.5752,-72.0662,18.0,52,0,1.54,clear sky
231,Sao Filipe,CV,14.8961,-24.4956,21.73,75,100,5.27,overcast clouds
232,Puerto Escondido,MX,15.85,-97.0667,26.0,83,40,1.56,scattered clouds
233,Broome,US,42.2506,-75.833,-1.0,59,1,2.06,clear sky
234,Kaka,TM,37.3482,59.6143,7.95,48,51,2.15,broken clouds
235,Nouakchott,MR,18.0858,-15.9785,17.0,82,100,7.2,overcast clouds
236,San-Pedro,CI,4.7485,-6.6363,25.14,93,47,2.86,scattered clouds
237,Ostrovnoy,RU,68.0531,39.5131,-10.79,94,100,9.15,light snow
238,Half Moon Bay,US,37.4636,-122.4286,12.0,53,1,4.12,clear sky
239,Sorland,NO,67.667,12.6934,2.7,78,100,8.49,overcast clouds
240,Pangnirtung,CA,66.1451,-65.7125,-14.09,89,99,1.31,overcast clouds
241,Tazovskiy,RU,67.4667,78.7,-32.22,87,100,3.4,overcast clouds
242,Okhotsk,RU,59.3833,143.3,-15.64,87,93,5.56,overcast clouds
243,Pedernales,DO,18.0384,-71.744,24.74,69,2,1.33,clear sky
244,Hasaki,JP,35.7333,140.8333,10.0,34,20,2.57,few clouds
245,Asahikawa,JP,43.7678,142.3703,-9.0,53,75,2.06,light snow
246,Changji,CN,44.0167,87.3167,-14.0,92,95,1.0,fog
247,Korhogo,CI,9.45,-5.6333,22.99,24,50,0.87,scattered clouds
248,Leningradskiy,RU,69.3833,178.4167,-32.12,85,100,4.92,overcast clouds
249,Dinard,FR,48.6314,-2.0614,8.0,93,90,4.12,overcast clouds
250,Solnechnyy,RU,50.7214,136.6319,-22.53,83,71,2.29,broken clouds
251,Bishop Auckland,GB,54.6555,-1.6771,5.0,87,100,2.24,overcast clouds
252,Clyde River,CA,70.4692,-68.5914,-29.0,69,90,8.23,light snow
253,Suntar,RU,62.1444,117.6319,-32.0,85,54,1.6,broken clouds
254,Hambantota,LK,6.1241,81.1185,22.0,94,40,1.54,scattered clouds
255,Portland,US,45.5234,-122.6762,7.22,90,87,1.34,overcast clouds
256,Dicabisagan,PH,17.0818,122.4157,23.17,82,98,4.07,overcast clouds
257,Guozhen,CN,34.3659,107.359,11.26,35,0,1.07,clear sky
258,Narsaq,GL,60.9167,-46.05,-9.0,38,66,1.54,broken clouds
259,Itarema,BR,-2.9248,-39.9167,25.73,82,96,5.41,overcast clouds
260,Payo,ID,-3.7508,103.6372,25.39,85,95,1.9,overcast clouds
261,Grahamstown,ZA,-33.3042,26.5328,19.44,88,97,0.89,overcast clouds
262,Gazanjyk,TM,39.2446,55.5154,9.6,48,100,0.73,overcast clouds
263,Saint-Philippe,RE,-21.3585,55.7679,27.0,74,0,2.57,light rain
264,Prince Rupert,CA,54.3161,-130.3201,4.0,93,90,3.09,light rain
265,Barcelos,PT,41.5388,-8.6151,9.0,93,0,2.38,clear sky
266,Zhigalovo,RU,54.8097,105.1578,-12.36,91,100,3.63,overcast clouds
267,Severo-Kurilsk,RU,50.6789,156.125,-10.14,86,81,4.59,broken clouds
268,Yar-Sale,RU,66.8333,70.8333,-30.15,87,2,2.57,clear sky
269,Callaguip,PH,18.0714,120.4867,26.0,65,20,3.6,few clouds
270,Souillac,MU,-20.5167,57.5167,25.0,83,40,1.03,scattered clouds
271,Sidney,AU,-33.8679,151.2073,28.0,61,40,13.38,scattered clouds
272,Tarko-Sale,RU,64.9225,77.785,-31.13,87,74,3.21,broken clouds
273,Georgetown,MY,5.4112,100.3354,29.0,65,20,1.54,few clouds
274,Berlevag,NO,70.8578,29.0864,-2.33,91,100,6.88,light snow
275,Vila Real,PT,41.3006,-7.7441,8.33,81,100,1.92,overcast clouds
276,Iqaluit,CA,63.7506,-68.5145,-11.0,85,90,4.12,snow
277,Necochea,AR,-38.5473,-58.7368,13.33,97,0,0.45,clear sky
278,Dinar,TR,38.065,30.1656,1.0,93,0,1.54,clear sky
279,Morden,CA,49.1919,-98.1014,-14.0,78,99,4.63,overcast clouds
280,Burns Lake,CA,54.2331,-125.7533,-4.0,93,100,0.51,snow
281,Bakchar,RU,57.0186,82.0711,-17.84,93,98,2.1,overcast clouds
282,Sao Felix Do Xingu,BR,-6.6447,-51.995,24.97,80,100,0.67,overcast clouds
283,Lumeje,AO,-11.55,20.7833,18.03,91,99,1.52,overcast clouds
284,Makaha,US,21.4694,-158.2175,24.0,68,20,6.69,light rain
285,Batemans Bay,AU,-35.7167,150.1833,23.89,86,62,8.05,broken clouds
286,Colquechaca,BO,-18.6667,-66.0167,1.91,100,90,2.13,overcast clouds
287,Emba,KZ,48.8264,58.1442,-0.19,97,46,3.3,scattered clouds
288,Umm Kaddadah,SD,13.6017,26.6876,15.68,33,0,8.22,clear sky
289,Abu Zabad,SD,12.35,29.25,17.09,30,36,8.38,scattered clouds
290,Agra,IN,27.1833,78.0167,13.45,77,31,2.55,scattered clouds
291,Starokostyantyniv,UA,49.7576,27.2034,-4.44,92,30,5.87,scattered clouds
292,Gat,IL,31.61,34.7642,13.33,100,100,3.32,overcast clouds
293,Popondetta,PG,-8.7537,148.2534,30.58,68,92,2.5,overcast clouds
294,Tautira,PF,-17.7333,-149.15,27.78,65,31,0.89,scattered clouds
295,Saint-Pierre,RE,-21.3393,55.4781,27.0,74,0,2.57,light rain
296,Hamina,FI,60.5697,27.1979,-17.0,85,0,3.6,clear sky
297,La Cruz,MX,23.9167,-106.9,16.67,88,0,0.45,clear sky
298,Sao Domingos,BR,-13.3983,-46.3183,21.89,82,53,0.89,broken clouds
299,Kruisfontein,ZA,-34.0033,24.7314,16.11,95,0,1.47,clear sky
300,Palmer,US,42.1584,-72.3287,-3.89,93,20,1.38,few clouds
301,Emporia,US,38.4039,-96.1817,-4.0,74,1,3.6,clear sky
302,Billings,US,45.7833,-108.5007,1.67,59,75,7.72,broken clouds
303,Qaqortoq,GL,60.7167,-46.0333,-9.0,38,94,1.54,overcast clouds
304,Geraldton,AU,-28.7667,114.6,26.0,31,100,11.32,overcast clouds
305,Novopavlovka,RU,51.2172,109.2091,-9.29,91,100,3.96,overcast clouds
306,Jieshou,CN,33.2634,115.3611,13.28,41,68,4.24,broken clouds
307,Rio Grande,BR,-32.035,-52.0986,19.0,88,0,5.14,clear sky
308,Bama,NG,11.5221,13.6856,18.04,30,0,3.61,clear sky
309,Quebo,GW,11.3333,-14.9333,18.77,80,65,0.88,broken clouds
310,Ledyard,US,41.4398,-72.0142,-1.67,86,1,2.49,clear sky
311,Zhezkazgan,KZ,47.8043,67.7144,-11.0,85,90,1.0,fog
312,Dryden,CA,49.7833,-92.7503,-16.0,78,90,5.14,light snow
313,The Valley,AI,18.217,-63.0578,26.0,78,20,4.12,few clouds
314,Pringsewu,ID,-5.3582,104.9744,28.14,72,59,2.24,broken clouds
315,Yumen,CN,40.2833,97.2,2.17,53,0,10.31,clear sky
316,Ahipara,NZ,-35.1667,173.1667,20.56,68,100,2.97,overcast clouds
317,Bandarbeyla,SO,9.4942,50.8122,21.41,70,11,4.53,few clouds
318,Wagar,SD,16.1525,36.2032,17.19,29,0,6.57,clear sky
319,Beinamar,TD,8.6698,15.3813,20.19,24,9,2.09,clear sky
320,Chokurdakh,RU,70.6333,147.9167,-26.14,86,97,9.12,overcast clouds
321,Mukhen,RU,48.1,136.1,-19.04,83,0,5.51,clear sky
322,Filadelfia,US,39.9523,-75.1638,1.11,60,1,1.88,clear sky
323,Karaikkudi,IN,10.0667,78.7833,23.02,72,0,5.54,clear sky
324,Daru,PG,-9.0763,143.2092,32.12,63,44,4.36,scattered clouds
325,Adrar,MR,20.5022,-10.0711,18.95,24,42,2.59,scattered clouds
326,Yakima,US,46.4665,-120.6678,7.78,61,1,2.06,clear sky
327,Atbasar,KZ,51.8,68.3333,-1.46,99,100,4.04,overcast clouds
328,Olean,US,42.0776,-78.4297,2.0,40,1,3.6,clear sky
329,Bilibino,RU,68.0546,166.4372,-24.71,80,100,4.11,overcast clouds
330,Ukiah,US,39.1502,-123.2078,9.0,76,1,1.37,clear sky
331,Dunedin,NZ,-45.8742,170.5036,13.33,70,57,11.62,broken clouds
332,Constitucion,CL,-35.3333,-72.4167,15.23,90,83,1.32,broken clouds
333,Sabzevar,IR,36.2126,57.6819,5.26,58,39,1.47,scattered clouds
334,Ingham,US,42.6,-84.3833,0.0,100,90,7.72,light rain
335,Vaitape,PF,-16.5167,-151.75,27.73,65,0,2.11,clear sky
336,Aykhal,RU,66.0,111.5,-36.7,80,13,2.17,few clouds
337,Moron,AR,-34.6534,-58.6198,23.33,54,0,1.34,clear sky
338,Lingao,CN,19.9103,109.6859,22.47,66,0,4.11,clear sky
339,Olafsvik,IS,64.8945,-23.7142,3.61,78,100,15.89,overcast clouds
340,Severobaykalsk,RU,55.65,109.3167,-14.18,87,100,0.66,overcast clouds
341,Khakhea,BW,-24.6895,23.494,20.59,87,91,2.67,overcast clouds
342,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,23.88,63,98,2.18,overcast clouds
343,Haines Junction,CA,60.7522,-137.5108,-28.0,69,20,0.6,few clouds
344,Bestobe,KZ,52.4994,73.0975,-4.61,98,99,4.27,overcast clouds
345,Saint-Georges,GD,12.0564,-61.7485,26.0,89,40,6.69,scattered clouds
346,Cidreira,BR,-30.1811,-50.2056,20.18,76,1,6.6,clear sky
347,Omsukchan,RU,62.5333,155.8,-26.75,85,100,1.9,overcast clouds
348,Tamiahua,MX,21.2667,-97.45,20.24,90,0,5.16,clear sky
